Reference,Date,Title
CWA 17316:2018,2018-07-04,Smart CE marking for construction products
CWA 17377:2019,2019-02-06,Design and Construction Codes for Gen II to IV nuclear facilities (pilot case for process for evolution of AFCEN codes)
DIN 105-4:2019-01,1-1-2019,Clay bricks - Part 4: Ceramic bricks
DIN 1055-4:2005-03,1-3-2005,Action on structures - Part 4: Wind loads
DIN 1168-2:1975-07,1-7-1975,"Building Plasters, Requirements, Testing, Control"
DIN 17611:2022-08,1-8-2022,Anodized products of wrought aluminium and wrought aluminium alloys - Technical conditions of delivery
DIN 18032-3:2018-11,1-11-2018,Sports halls - Halls and rooms for sports and multi-purpose use - Part 3: Testing of safety against ball throwing
DIN 18202:2019-07,1-7-2019,Tolerances in building construction - Buildings
DIN 18516-1:2010-06,1-6-2010,Cladding for external walls, ventilated at rear - Part 1: Requirements, principles of testing
DIN 28400-2,1980-10-01,"Vacuum technology; terms and definitions, vacuum pumps"
DIN 4074-1:2012-06,1-6-2012,Strength grading of wood - Part 1: Coniferous sawn timber
DIN 4102-1:1998-05,1-5-1998,"Fire behaviour of building materials and building components - Part 1: Building materials, concepts, requirements and tests"
DIN 4102-17:2017-12,1-12-2017,Fire behaviour of building materials and building components - Part 17: Melting point of mineral wool insulating materials - Terms and definitions, requirements and test
DIN 4102-4:2016-05,1-5-2016,Fire behaviour of building materials and building components - Part 4: Synopsis and application of classified building materials, components and special components
DIN 4108-10:2021-11,1-11-2021,Thermal insulation and energy economy in buildings - Part 10: Application-related requirements for thermal insulation materials
DIN 4108-3:2018-10,1-10-2018,Thermal protection and energy economy in buildings - Part 3: Protection against moisture subject to climate conditions - Requirements, calculation methods and directions for planning and construction
DIN 4108-4:2020-11,1-11-2020,Thermal insulation and energy economy in buildings - Part 4: Hygrothermal design values
DIN 4109-1:2018-01,1-1-2018,Sound insulation in buildings - Part 1: Minimum requirements
DIN EN 13306,2018-02-01,Begriffe der Instandhaltung; Dreisprachige Fassung
DIN EN 1333,1992-02-01,Flanges and their joints - Pipework components - Definition and selection of PN
DIN EN 13460,2009-08-01,Documentation for maintenance
DIN EN ISO 17769-1,2012-11-01,"Liquid pumps and installation - General terms, definitions, quantities, letter symbols and units - Part 1: Liquid pumps"
DIN EN ISO 17769-2,2012-11-01,"Liquid pumps and installation - General terms, definitions, quantities, letter symbols and units - Part 2: Pumping System"
DIN EN ISO 80000-8,2020-06-01,Quantities and units - Part 8: Acoustics
DIN ISO 21360-1,2016-09-01,Vacuum technology — Standard methods for measuring vacuum-pump performance — Part 1: General description
EAD 090062-00-0404,1-7-2018,Kits for external wall claddings mechanically fixed
EC Decision 2000/147/EC,2000-02-08,commission decision of 8 February 2000
EN 1009-1:2020,2020-05-27,Machines for mechanical processing of minerals and similar solid materials - Safety - Part 1: Common requirements for machinery and processing plants
EN 1009-2:2020,2020-05-27,Machines for mechanical processing of minerals and similar solid materials - Safety - Part 2: Specific requirements for feeding machinery and continuous handling equipment
EN 1009-3:2020,2020-05-27,Machines for mechanical processing of minerals and similar solid materials - Safety - Part 3: Specific requirements for crushing and milling machinery
EN 1009-4:2020,2020-05-27,Machines for mechanical processing of minerals and similar solid materials - Safety - Part 4: Specific requirements for screening machinery
EN 1009-5:2020,2020-05-27,"Machines for mechanical processing of minerals and similar solid materials - Safety - Part 5: Specific requirements for cleaning, recycling, sorting and mud treatment machinery"
EN 1036-1:2007,2007-12-19,"Glass in building - Mirrors from silver-coated float glass for internal use - Part 1: Definitions, requirements and test methods"
EN 1036-2:2008,2008-02-13,Glass in building - Mirrors from silver-coated float glass for internal use - Part 2: Evaluation of conformity; product standard
EN 1051-1:2003,2003-01-29,Glass in building - Glass blocks and glass pavers - Part 1: Definitions and description
EN 1051-2:2007,2007-10-03,Glass in building - Glass blocks and glass pavers - Part 2: Evaluation of conformity/Product standard
EN 10545-2:2019,2019-03-01,Ceramic tiles - Part 2: Determination of dimensions and surface quality
EN 1058,1900-01-01,wood-based panels - determination of characteristic 5-percentile values and characteristic mean values
EN 1063:1999,1999-11-17,Glass in building - Security glazing - Testing and classification of resistance against bullet attack
EN 1096-1:2012,2012-01-18,Glass in building - Coated glass - Part 1: Definitions and classification
EN 1096-2:2012,2012-01-18,"Glass in building - Coated glass - Part 2: Requirements and test methods for class A, B and S coatings"
EN 1096-3:2012,2012-01-18,Glass in building - Coated glass - Part 3: Requirements and test methods for class C and D coatings
EN 1096-4:2018,2018-08-22,Glass in building - Coated glass - Part 4: Product standard
EN 1096-5:2016,2016-01-27,Glass in building - Coated glass - Part 5 - Test method and classification for the self-cleaning performances of coated glass surfaces
EN 1128,1900-01-01,cement-bonded particleboards. determination of hard body impact resistance
EN 1195,1900-01-01,timber structures - test methods - performance of structural floor decking
EN 12001:2012,2012-08-29,"Conveying, spraying and placing machines for concrete and mortar - Safety requirements"
EN 12110:2014,2014-05-21,Tunnelling machines - Air locks - Safety requirements
EN 12114,1900-01-01,thermal performance of buildings - air permeability of building components and building elements - laboratory test method
EN 12150-1:2015+A1:2019,2019-05-08,Glass in building - Thermally toughened soda lime silicate safety glass - Part 1: Definition and description
EN 12150-2:2004,2004-10-06,Glass in building - Thermally toughened soda lime silicate safety glass - Part 2: Evaluation of conformity/Product standard
EN 12337-1:2000,2000-06-21,Glass in building - Chemically strengthened soda lime silicate glass - Part 1: Definition and description
EN 12337-2:2004,2004-10-13,Glass in building - Chemically strengthened soda lime silicate glass - Part 2: Evaluation of conformity/Product standard
EN 12348:2000+A1:2009,2009-04-01,Core drilling machines on stand - Safety
EN 12354-5:2009,2009-04-01,Building acoustics - Estimation of acoustic performance of building from the performance of elements - Part 5: Sounds levels due to the service equipment
EN 12354-5:2009/AC:2010,2010-10-20,Building acoustics - Estimation of acoustic performance of building from the performance of elements - Part 5: Sounds levels due to the service equipment
EN 12354-6:2003,2003-12-17,Building acoustics - Estimation of acoustic performance of buildings from the performance of elements - Part 6: Sound absorption in enclosed spaces
EN 12369-1,1900-01-01,"wood-based panels - characteristic values for structural design - part 1: OSB, particleboard and fibreboard"
EN 12369-2,1900-01-01,wood-based panels - characteristic values for structural design - part 2: plywood
EN 12418:2000+A1:2009,2009-03-25,Masonry and stone cutting-off machines for job site - Safety
EN 12467:2018-07,1-7-2018,Fibre-cement flat sheets - Product specification and test methods
EN 12488:2016,2016-06-29,Glass in building - Glazing recommendations - Assembly principles for vertical and sloping glazing
EN 12524,1900-01-01,building materials and products - hygrothermal properties - tabulated design values
EN 12600:2002,2002-11-20,Glass in building - Pendulum test - Impact test method and classification for flat glass
EN 12603:2002,2002-11-20,Glass in building - Procedures for goodness of fit and confidence intervals for Weibull distributed glass strength data
EN 12629-1:2000+A1:2010,2010-09-01,Machines for the manufacture of constructional products from concrete and calcium-silicate - Safety - Part 1: Common requirements
EN 12629-2:2002+A1:2010,2010-09-01,Machines for the manufacture of constructional products from concrete and calcium-silicate - Safety - Part 2: Block making machines
EN 12629-3:2002+A1:2010,2010-09-01,Machines for the manufacture of constructional products from concrete and calcium-silicate - Safety - Part 3: Slide and turntable machines
EN 12629-4:2001+A1:2010,2010-09-01,Machines for the manufacture of constructional products from concrete and calcium-silicate - Safety - Part 4:Concrete roof tile making machines
EN 12629-5-1:2003+A1:2010,2010-09-01,Machines for the manufacture of constructional products from concrete and calcium-silicate - Safety - Part 5-1: Pipe making machines manufacturing in the vertical axis
EN 12629-5-2:2003+A1:2010,2010-09-01,Machines for the manufacture of constructional products from concrete and calcium-silicate - Safety - Part 5-2: Pipe making machines manufacturing in the horizontal axis
EN 12629-5-3:2003+A1:2010,2010-09-01,Machines for the manufacture of constructional products from concrete and calcium-silicate - Safety - Part 5-3: Pipe prestressing machines
EN 12629-5-4:2003+A1:2010,2010-09-01,Machines for the manufacture of constructional products from concrete and calcium-silicate - Safety - Part 5-4: Concrete pipe coating machines
EN 12629-6:2004+A1:2010,2010-09-01,Machines for the manufacture of constructional products from concrete and calcium-silicate - Safety - Part 6: Stationary and mobile equipment for the manufacture of precast reinforced products
EN 12629-7:2004+A1:2010,2010-09-01,Machines for the manufacture of constructional products from concrete and calcium-silicate - Safety - Part 7: Stationary and mobile equipment for long line manufacture of prestressed products
EN 12629-8:2002+A1:2010,2010-09-01,Machines for the manufacture of constructional products from concrete and calcium-silicate - Safety - Part 8: Machines and equipment for the manufacture of constructional products from calcium-silicate (and concrete)
EN 12649:2008+A1:2011,2011-07-13,Concrete compactors and smoothing machines - Safety
EN 12664,1900-01-01,thermal performance of building materials and products - determination of thermal resistance by means of guarded hot plate and heat flow meter methods - dry and moist products of medium and low thermal resistance
EN 12758:2019,2019-09-04,"Glass in building - Glazing and airborne sound insulation - Product descriptions, determination of properties and extension rules"
EN 1279-1:2018,2018-07-25,"Glass in Building - Insulating glass units - Part 1: Generalities, system description, rules for substitution, tolerances and visual quality"
EN 1279-2:2018,2018-07-25,Glass in building - Insulating glass units - Part 2: Long term test method and requirements for moisture penetration
EN 1279-3:2018,2018-07-25,Glass in building - Insulating glass units - Part 3: Long term test method and requirements for gas leakage rate and for gas concentration tolerances
EN 1279-4:2018,2018-07-25,Glass in Building - Insulating Glass Units - Part 4: Methods of test for the physical attributes of edge seal components and inserts
EN 1279-5:2018,2018-07-25,Glass in building - Insulating glass units - Part 5: Product standard
EN 1279-6:2018,2018-07-25,Glass in building - Insulating glass units - Part 6: Factory production control and periodic tests
EN 12871,1900-01-01,"wood-based panels - determination of performance characteristics for load bearing panels for use in floors, roofs and walls"
EN 1288-1:2000,2000-06-21,Glass in building - Determination of the bending strength of glass - Part 1: Fundamentals of testing glass
EN 1288-2:2000,2000-06-21,Glass in building - Determination of bending strength of glass - Part 2: Coaxial double ring test on flat specimens with large test surface areas
EN 1288-3:2000,2000-06-21,Glass in building - Determination of the bending strength of glass - Part 3: Test with specimen supported at two points (four point bending)
EN 1288-4:2000,2000-06-21,Glass in building - Determination of the bending strength of glass - Part 4: Testing of channel shaped glass
EN 1288-5:2000,2000-06-21,Glass in building - Determination of the bending strength of glass - Part 5: Coaxial double ring test on flat specimens with small test surface areas
EN 12898:2019,2019-03-13,Glass in building - Determination of the emissivity
EN 13017-1,1900-01-01,solid wood panel - classification by surface appearance - part 1: softwood
EN 13017-2,1900-01-01,solid wood panel - classification by surface appearance - part 2: hardwood
EN 13019:2001+A1:2008,2008-12-10,Machines for road surface cleaning - Safety requirements
EN 13020:2015,2015-11-18,Road surface treatment machines - Safety requirements
EN 13021:2003+A1:2008,2008-12-10,Winter service machines - Safety requirements
EN 13022-1:2014,2014-06-04,Glass in building - Structural sealant glazing - Part 1: Glass products for structural sealant glazing systems for supported and unsupported monolithic and multiple glazing
EN 13022-2:2014,2014-06-04,Glass in building - Structural sealant glazing - Part 2: Assembly rules
EN 13024-1:2011,2011-11-30,Glass in building - Thermally toughened borosilicate safety glass - Part 1: Definition and description
EN 13024-2:2004,2004-10-13,Glass in building - Thermally toughened borosilicate safety glass - Part 2: Evaluation of conformity/Product standard
EN 13035-1:2008,2008-03-12,"Machines and plants for the manufacture, treatment and processing of flat glass - Safety requirements - Part 1: Storage, handling and transportation equipment inside the factory"
EN 13035-11:2006+A1:2010,2010-03-10,"Machines and plants for the manufacture, treatment and processing of flat glass - Safety requirements - Part 11: Drilling machines"
EN 13035-2:2008,2008-03-12,"Machines and plants for the manufacture, treatment and processing of flat glass - Safety requirements - Part 2: Storage, handling and transportation equipment outside the factory"
EN 13035-3:2003+A1:2009,2009-08-19,"Machines and plants for the manufacture, treatment and processing of flat glass - Safety requirements - Part 3: Cutting machines"
EN 13035-3:2003+A1:2009/AC:2010,2010-04-28,"Machines and plants for the manufacture, treatment and processing of flat glass - Safety requirements - Part 3: Cutting machines"
EN 13035-4:2003+A1:2009,2009-12-16,"Machines and plants for the manufacture, treatment and processing of flat glass - Safety requirements - Part 4: Tilting tables"
EN 13035-5:2006+A1:2009,2009-12-16,"Machines and plants for the manufacture, treatment and processing of flat glass - Safety requirements - Part 5: Machines and installations for stacking and de-stacking"
EN 13035-6:2006+A1:2009,2009-12-16,"Machines and plants for the manufacture, treatment and processing of flat glass - Safety requirements - Part 6: Machines for break-out"
EN 13035-7:2006+A1:2009,2009-12-02,"Machines and plants for the manufacture, treatment and processing of flat glass - Safety requirements - Part 7: Cutting machines for laminated glass"
EN 13035-9:2006+A1:2010,2010-03-10,"Machines and plants for the manufacture, treatment and processing of flat glass - Safety requirements - Part 9: Washing installations"
EN 13042-1:2007+A1:2009,2009-11-11,"Machines and plants for the manufacture, treatment and processing of hollow glass - Safety requirements - Part 1: Gob feeder"
EN 13042-2:2004+A1:2009,2009-07-01,"Machines and plants for the manufacture, treatment and processing of hollow glass - Safety requirements - Part 2: Handling machines for feeding"
EN 13042-3:2007+A1:2009,2009-07-22,"Machines and plants for the manufacture, treatment and processing of hollow glass - Safety requirements - Part 3: IS machines"
EN 13042-5:2003+A1:2009,2009-07-01,"Machines and plants for the manufacture, treatment and processing of hollow glass - Safety requirements - Part 5: Presses"
EN 1309-1,1900-01-01,round and sawn timber - method of measurement of dimensions - part 1: sawn timber
EN 13102:2005+A1:2008,2008-11-12,Ceramic machines - Safety - Loading and unloading of fine clay tiles
EN 13162:2015-04,1-4-2015,Thermal insulation products for buildings - Factory made mineral wool (MW) products - Specification
EN 13183-2,1900-01-01,moisture content of a piece of sawn timber. estimation by electrical resistance method
EN 13271,1900-01-01,timber fasteners - characteristic load-carrying capacities and slip-moduli for connector joints
EN 1328,1900-01-01,cement bonded particleboards - determination of frost resistance
EN 13282-1:2013,2013-03-06,"Hydraulic road binders - Part 1: Rapid hardening hydraulic road binders - Composition, specifications and conformity criteria"
EN 13282-2:2015,2015-04-29,"Hydraulic road binders - Part 2: Normal hardening hydraulic road binders - Composition, specifications and conformity criteria "
EN 13282-3:2015,2015-04-01,Hydraulic road binders - Part 3: Conformity evaluation
EN 13318:2000,2000-06-21,Screed material and floor screeds - Definitions
EN 13353,1900-01-01,solid wood panels(SWP) - requirements
EN 13367:2005+A1:2008,2008-10-08,Ceramic machines - Safety - Transfer platforms and cars
EN 13367:2005+A1:2008/AC:2009,2009-11-25,Ceramic machines - Safety - Transfer platforms and cars
EN 13446,1900-01-01,wood-based panels - determination of withdrawal capacity of fasteners
EN 13501-1:2019-05,1-5-2019,Fire classification of construction products and building elements - Part 1: Classification using data from reaction to fire tests
