IfcActionRequest
IfcActor
IfcActuator
IfcActuator.ELECTRICACTUATOR
IfcActuator.HANDOPERATEDACTUATOR
IfcActuator.HYDRAULICACTUATOR
IfcActuator.PNEUMATICACTUATOR
IfcActuator.THERMOSTATICACTUATOR
IfcAirTerminal
IfcAirTerminal.DIFFUSER
IfcAirTerminal.GRILLE
IfcAirTerminal.LOUVRE
IfcAirTerminal.REGISTER
IfcAirTerminalBox
IfcAirTerminalBox.CONSTANTFLOW
IfcAirTerminalBox.VARIABLEFLOWPRESSUREDEPENDANT
IfcAirTerminalBox.VARIABLEFLOWPRESSUREINDEPENDANT
IfcAirToAirHeatRecovery
IfcAirToAirHeatRecovery.FIXEDPLATECOUNTERFLOWEXCHANGER
IfcAirToAirHeatRecovery.FIXEDPLATECROSSFLOWEXCHANGER
IfcAirToAirHeatRecovery.FIXEDPLATEPARALLELFLOWEXCHANGER
IfcAirToAirHeatRecovery.HEATPIPE
IfcAirToAirHeatRecovery.ROTARYWHEEL
IfcAirToAirHeatRecovery.RUNAROUNDCOILLOOP
IfcAirToAirHeatRecovery.THERMOSIPHONCOILTYPEHEATEXCHANGERS
IfcAirToAirHeatRecovery.THERMOSIPHONSEALEDTUBEHEATEXCHANGERS
IfcAirToAirHeatRecovery.TWINTOWERENTHALPYRECOVERYLOOPS
IfcAlarm
IfcAlarm.BELL
IfcAlarm.BREAKGLASSBUTTON
IfcAlarm.LIGHT
IfcAlarm.MANUALPULLBOX
IfcAlarm.RAILWAYCROCODILE
IfcAlarm.RAILWAYDETONATOR
IfcAlarm.SIREN
IfcAlarm.WHISTLE
IfcAlignment
IfcAnnotation
IfcAnnotation.ASBUILTAREA
IfcAnnotation.ASBUILTLINE
IfcAnnotation.ASBUILTPOINT
IfcAnnotation.ASSUMEDAREA
IfcAnnotation.ASSUMEDLINE
IfcAnnotation.ASSUMEDPOINT
IfcAnnotation.NON_PHYSICAL_SIGNAL
IfcAnnotation.SUPERELEVATIONEVENT
IfcAnnotation.USERDEFINED
IfcAnnotation.WIDTHEVENT
IfcArbitraryClosedProfileDef
IfcArbitraryProfileDefWithVoids
IfcAsset
IfcAudioVisualAppliance
IfcAudioVisualAppliance.AMPLIFIER
IfcAudioVisualAppliance.CAMERA
IfcAudioVisualAppliance.DISPLAY
IfcAudioVisualAppliance.MICROPHONE
IfcAudioVisualAppliance.PLAYER
IfcAudioVisualAppliance.PROJECTOR
IfcAudioVisualAppliance.RAILWAY_COMMUNICATION_TERMINAL
IfcAudioVisualAppliance.RECEIVER
IfcAudioVisualAppliance.SPEAKER
IfcAudioVisualAppliance.SWITCHER
IfcAudioVisualAppliance.TELEPHONE
IfcAudioVisualAppliance.TUNER
IfcBeam
IfcBeam.BEAM
IfcBeam.CORNICE
IfcBeam.DIAPHRAGM
IfcBeam.EDGEBEAM
IfcBeam.GIRDER_SEGMENT
IfcBeam.HATSTONE
IfcBeam.HOLLOWCORE
IfcBeam.JOIST
IfcBeam.LINTEL
IfcBeam.PIERCAP
IfcBeam.SPANDREL
IfcBeam.T_BEAM
IfcBeamStandardCase
IfcBearing
IfcBearing.CYLINDRICAL
IfcBearing.DISK
IfcBearing.ELASTOMERIC
IfcBearing.GUIDE
IfcBearing.POT
IfcBearing.ROCKER
IfcBearing.ROLLER
IfcBearing.SPHERICAL
IfcBoiler
IfcBoiler.STEAM
IfcBoiler.WATER
IfcBorehole
IfcBridge
IfcBridge.ARCHED
IfcBridge.CABLE_STAYED
IfcBridge.CANTILEVER
IfcBridge.CULVERT
IfcBridge.FRAMEWORK
IfcBridge.GIRDER
IfcBridge.SUSPENSION
IfcBridge.TRUSS
IfcBridgePart
IfcBridgePart.ABUTMENT
IfcBridgePart.DECK
IfcBridgePart.DECK_SEGMENT
IfcBridgePart.FOUNDATION
IfcBridgePart.PIER
IfcBridgePart.PIER_SEGMENT
IfcBridgePart.PYLON
IfcBridgePart.SUBSTRUCTURE
IfcBridgePart.SUPERSTRUCTURE
IfcBridgePart.SURFACESTRUCTURE
IfcBuilding
IfcBuildingElementPart
IfcBuildingElementPart.APRON
IfcBuildingElementPart.ARMOURUNIT
IfcBuildingElementPart.INSULATION
IfcBuildingElementPart.PRECASTPANEL
IfcBuildingElementPart.SAFETYCAGE
IfcBuildingElementProxy
IfcBuildingElementProxy.COMPLEX
IfcBuildingElementProxy.ELEMENT
IfcBuildingElementProxy.PARTIAL
IfcBuildingElementProxy.PROVISIONFORSPACE
IfcBuildingElementProxy.PROVISIONFORVOID
IfcBuildingStorey
IfcBuildingSystem
IfcBuiltElement
IfcBuiltElementType
IfcBurner
IfcCableCarrierFitting
IfcCableCarrierFitting.BEND
IfcCableCarrierFitting.CROSS
IfcCableCarrierFitting.REDUCER
IfcCableCarrierFitting.TEE
IfcCableCarrierSegment
IfcCableCarrierSegment.CABLEBRACKET
IfcCableCarrierSegment.CABLELADDERSEGMENT
